,feature,importance
3,time_since_signup,0.38648452470836053
5,ip_address_count,0.3180770459125541
4,device_id_count,0.27042484335414796
0,purchase_value,0.006590165994482917
1,age,0.005772246704697069
2,hour_of_day,0.005606615827824267
7,source_Direct,0.0020382192173309045
15,sex_M,0.0007034346607754757
6,source_Ads,0.0006806224387112987
8,source_SEO,0.0006355717823076756
14,sex_F,0.0006033850475846286
9,browser_Chrome,0.0005809411748495638
11,browser_IE,0.0005251850965684063
13,browser_Safari,0.0005233219317797089
10,browser_FireFox,0.0004605271492182247
12,browser_Opera,0.00029334899880730056
