,feature,mean_shap_value
3,time_since_signup,0.047406204027101315
4,device_id_count,0.039742350293554975
5,ip_address_count,0.02565428469689676
7,source_Direct,0.002534551720711543
8,source_SEO,0.001502256856419491
1,age,0.0013350656853932815
2,hour_of_day,0.0011957101375543522
0,purchase_value,0.0011743571448441631
6,source_Ads,0.0009178616320806468
9,browser_Chrome,0.000484578006122188
11,browser_IE,0.00041751690772723576
15,sex_M,0.0003930570164887332
14,sex_F,0.00036118904076734896
10,browser_FireFox,0.00031971850075649815
13,browser_Safari,0.00029128018412811167
12,browser_Opera,0.00012931485912821302
